avg_rss_mem,avg_shared_text_size,avg_stack_size,avg_total_size,avg_unshared_data_size,exit_status,file_system_inputs,file_system_outputs,involuntary_context_switches,major_page_faults,max_rss_mem,minor_page_faults,page_size,percent_cpu_job_got,real_time,signals_delivered,socket_messages_received,socket_messages_sent,swaps,system_time,user_time,voluntary_context_switches
0,0,0,0,0,0,0,0,1,0,71040,17177,4096,98,0.17,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,1,0,70912,17175,4096,99,0.17,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,0,0,71040,17175,4096,100,0.17,0,0,0,0,0.03,0.14,1
0,0,0,0,0,0,0,0,0,0,71040,17176,4096,100,0.16,0,0,0,0,0.04,0.12,1
0,0,0,0,0,0,0,0,2,0,71040,17176,4096,99,0.16,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,0,0,71040,17176,4096,99,0.16,0,0,0,0,0.03,0.13,0
0,0,0,0,0,0,0,0,1,0,71040,17176,4096,99,0.16,0,0,0,0,0.03,0.12,1
0,0,0,0,0,0,0,0,0,0,71040,17175,4096,100,0.16,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,1,0,70912,17176,4096,99,0.16,0,0,0,0,0.04,0.12,1
0,0,0,0,0,0,0,0,10,0,71040,17175,4096,98,0.16,0,0,0,0,0.04,0.12,1
0,0,0,0,0,0,0,0,1,0,71040,17176,4096,99,0.16,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,0,0,71040,17175,4096,99,0.16,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,2,0,71040,17175,4096,99,0.17,0,0,0,0,0.04,0.12,1
0,0,0,0,0,0,0,0,0,0,71040,17174,4096,100,0.17,0,0,0,0,0.05,0.11,1
0,0,0,0,0,0,0,0,0,0,71040,17176,4096,100,0.17,0,0,0,0,0.04,0.13,1
0,0,0,0,0,0,0,0,1,0,71040,17176,4096,99,0.16,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,2,0,71040,17174,4096,99,0.16,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,1,0,71040,17174,4096,100,0.16,0,0,0,0,0.04,0.12,1
0,0,0,0,0,0,0,0,3,0,71040,17177,4096,100,0.16,0,0,0,0,0.04,0.12,1
0,0,0,0,0,0,0,0,0,0,70912,17175,4096,100,0.17,0,0,0,0,0.04,0.13,1
0,0,0,0,0,0,0,0,1,0,71040,17177,4096,100,0.16,0,0,0,0,0.04,0.12,1
0,0,0,0,0,0,0,0,1,0,71040,17176,4096,100,0.16,0,0,0,0,0.04,0.12,1
0,0,0,0,0,0,0,0,0,0,70912,17176,4096,99,0.16,0,0,0,0,0.03,0.12,1
0,0,0,0,0,0,0,0,1,0,71040,17175,4096,98,0.16,0,0,0,0,0.04,0.12,1
0,0,0,0,0,0,0,0,2,0,71040,17175,4096,100,0.16,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,1,0,71040,17175,4096,99,0.17,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,0,0,71040,17175,4096,99,0.16,0,0,0,0,0.04,0.12,1
0,0,0,0,0,0,0,0,6,0,70912,17176,4096,100,0.16,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,1,0,70912,17178,4096,100,0.16,0,0,0,0,0.04,0.12,1
0,0,0,0,0,0,0,0,2,0,71040,17174,4096,100,0.17,0,0,0,0,0.04,0.12,1
0,0,0,0,0,0,0,0,4,0,71040,17174,4096,100,0.16,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,0,0,71040,17177,4096,100,0.16,0,0,0,0,0.04,0.12,1
0,0,0,0,0,0,0,0,0,0,71040,17175,4096,99,0.16,0,0,0,0,0.04,0.12,1
0,0,0,0,0,0,0,0,1,0,70912,17173,4096,100,0.16,0,0,0,0,0.04,0.12,1
0,0,0,0,0,0,0,0,0,0,71040,17175,4096,100,0.16,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,0,0,71040,17177,4096,100,0.16,0,0,0,0,0.04,0.12,1
0,0,0,0,0,0,0,0,2,0,71040,17175,4096,99,0.17,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,1,0,71040,17175,4096,100,0.16,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,1,0,71040,17174,4096,99,0.16,0,0,0,0,0.04,0.12,1
0,0,0,0,0,0,0,0,0,0,70912,17173,4096,100,0.17,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,0,0,71040,17177,4096,100,0.16,0,0,0,0,0.04,0.12,1
0,0,0,0,0,0,0,0,2,0,70912,17176,4096,99,0.16,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,1,0,71040,17176,4096,100,0.16,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,0,0,71040,17175,4096,99,0.16,0,0,0,0,0.04,0.12,1
0,0,0,0,0,0,0,0,1,0,71040,17174,4096,100,0.17,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,0,0,71040,17175,4096,98,0.17,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,1,0,71040,17176,4096,100,0.16,0,0,0,0,0.04,0.12,1
0,0,0,0,0,0,0,0,1,0,71040,17174,4096,99,0.17,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,1,0,71040,17176,4096,100,0.16,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,1,0,71040,17176,4096,100,0.16,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,0,0,71040,17176,4096,100,0.17,0,0,0,0,0.04,0.12,1
0,0,0,0,0,0,0,0,0,0,71040,17176,4096,98,0.17,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,0,0,71040,17176,4096,100,0.16,0,0,0,0,0.04,0.12,1
0,0,0,0,0,0,0,0,2,0,71040,17176,4096,99,0.16,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,0,0,71040,17174,4096,99,0.17,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,0,0,71040,17176,4096,100,0.16,0,0,0,0,0.04,0.12,1
0,0,0,0,0,0,0,0,0,0,71040,17176,4096,99,0.16,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,0,0,71040,17177,4096,99,0.17,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,1,0,70912,17176,4096,99,0.16,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,1,0,71040,17177,4096,100,0.17,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,2,0,71040,17175,4096,98,0.16,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,0,0,71040,17175,4096,100,0.17,0,0,0,0,0.04,0.13,1
0,0,0,0,0,0,0,0,1,0,71040,17176,4096,99,0.17,0,0,0,0,0.03,0.13,1
0,0,0,0,0,0,0,0,0,0,71040,17175,4096,98,0.17,0,0,0,0,0.04,0.12,1
0,0,0,0,0,0,0,0,1,0,71040,17175,4096,98,0.16,0,0,0,0,0.04,0.12,1
