avg_rss_mem,avg_shared_text_size,avg_stack_size,avg_total_size,avg_unshared_data_size,exit_status,file_system_inputs,file_system_outputs,involuntary_context_switches,major_page_faults,max_rss_mem,minor_page_faults,page_size,percent_cpu_job_got,real_time,signals_delivered,socket_messages_received,socket_messages_sent,swaps,system_time,user_time,voluntary_context_switches
0,0,0,0,0,0,0,0,16,0,2944,152,4096,100,5.59,0,0,0,0,0.06,5.53,1
0,0,0,0,0,0,0,0,30,0,2944,154,4096,99,5.57,0,0,0,0,0.06,5.5,1
0,0,0,0,0,0,0,0,21,0,3072,156,4096,100,5.59,0,0,0,0,0.05,5.53,1
0,0,0,0,0,0,0,0,27,0,2944,154,4096,99,5.6,0,0,0,0,0.05,5.55,1
0,0,0,0,0,0,0,0,21,0,2944,156,4096,99,5.56,0,0,0,0,0.05,5.5,1
0,0,0,0,0,0,0,0,67,0,3072,153,4096,99,5.58,0,0,0,0,0.05,5.52,1
0,0,0,0,0,0,0,0,52,0,3072,154,4096,99,5.55,0,0,0,0,0.05,5.49,1
0,0,0,0,0,0,0,0,18,0,2816,156,4096,99,5.61,0,0,0,0,0.05,5.56,1
0,0,0,0,0,0,0,0,19,0,2944,155,4096,99,5.59,0,0,0,0,0.06,5.53,1
0,0,0,0,0,0,0,0,27,0,2944,155,4096,99,5.61,0,0,0,0,0.04,5.57,1
0,0,0,0,0,0,0,0,15,0,2944,155,4096,99,5.61,0,0,0,0,0.05,5.56,1
0,0,0,0,0,0,0,0,26,0,2944,155,4096,99,5.62,0,0,0,0,0.05,5.56,1
0,0,0,0,0,0,0,0,32,0,2944,155,4096,99,5.65,0,0,0,0,0.05,5.59,1
0,0,0,0,0,0,0,0,22,0,2944,155,4096,99,5.6,0,0,0,0,0.05,5.55,1
0,0,0,0,0,0,0,0,19,0,3072,156,4096,100,5.66,0,0,0,0,0.05,5.6,1
0,0,0,0,0,0,0,0,20,0,2944,156,4096,100,5.55,0,0,0,0,0.04,5.51,1
0,0,0,0,0,0,0,0,23,0,2944,155,4096,99,5.65,0,0,0,0,0.04,5.6,1
0,0,0,0,0,0,0,0,43,0,2944,153,4096,99,5.59,0,0,0,0,0.04,5.54,1
0,0,0,0,0,0,0,0,17,0,3072,156,4096,99,5.66,0,0,0,0,0.08,5.57,1
0,0,0,0,0,0,0,0,18,0,3072,155,4096,99,5.65,0,0,0,0,0.05,5.59,1
0,0,0,0,0,0,0,0,27,0,3072,155,4096,99,5.64,0,0,0,0,0.06,5.57,1
0,0,0,0,0,0,0,0,21,0,2944,155,4096,100,5.59,0,0,0,0,0.06,5.53,1
0,0,0,0,0,0,0,0,24,0,2944,156,4096,99,5.64,0,0,0,0,0.06,5.57,1
0,0,0,0,0,0,0,0,17,0,3072,157,4096,100,5.6,0,0,0,0,0.05,5.55,1
0,0,0,0,0,0,0,0,25,0,2816,155,4096,99,5.56,0,0,0,0,0.04,5.52,1
0,0,0,0,0,0,0,0,30,0,2944,154,4096,99,5.62,0,0,0,0,0.03,5.58,1
0,0,0,0,0,0,0,0,38,0,3072,157,4096,99,5.63,0,0,0,0,0.06,5.57,1
0,0,0,0,0,0,0,0,21,0,2944,154,4096,99,5.7,0,0,0,0,0.05,5.64,1
0,0,0,0,0,0,0,0,18,0,3072,155,4096,99,5.6,0,0,0,0,0.07,5.53,1
0,0,0,0,0,0,0,0,29,0,2944,156,4096,100,5.62,0,0,0,0,0.05,5.56,1
0,0,0,0,0,0,0,0,19,0,2944,154,4096,99,5.66,0,0,0,0,0.04,5.62,1
0,0,0,0,0,0,0,0,63,0,2944,152,4096,99,5.61,0,0,0,0,0.04,5.57,1
0,0,0,0,0,0,0,0,24,0,3072,157,4096,99,5.57,0,0,0,0,0.06,5.5,1
0,0,0,0,0,0,0,0,17,0,2944,156,4096,99,5.59,0,0,0,0,0.04,5.54,1
0,0,0,0,0,0,0,0,21,0,2944,156,4096,99,5.56,0,0,0,0,0.04,5.51,1
0,0,0,0,0,0,0,0,11,0,3072,157,4096,99,5.58,0,0,0,0,0.05,5.53,1
0,0,0,0,0,0,0,0,17,0,3072,155,4096,99,5.59,0,0,0,0,0.07,5.51,1
0,0,0,0,0,0,0,0,14,0,3072,156,4096,99,5.61,0,0,0,0,0.06,5.55,1
0,0,0,0,0,0,0,0,24,0,2944,154,4096,99,5.59,0,0,0,0,0.06,5.53,1
0,0,0,0,0,0,0,0,23,0,2944,155,4096,99,5.61,0,0,0,0,0.05,5.55,1
0,0,0,0,0,0,0,0,14,0,2816,152,4096,99,5.8,0,0,0,0,0.06,5.74,1
0,0,0,0,0,0,0,0,52,0,3072,155,4096,99,5.71,0,0,0,0,0.06,5.64,1
0,0,0,0,0,0,0,0,45,0,3072,156,4096,99,5.59,0,0,0,0,0.05,5.53,1
0,0,0,0,0,0,0,0,30,0,3072,157,4096,99,5.6,0,0,0,0,0.05,5.55,1
0,0,0,0,0,0,0,0,30,0,2816,154,4096,99,5.68,0,0,0,0,0.05,5.63,1
0,0,0,0,0,0,0,0,79,0,2944,154,4096,99,5.65,0,0,0,0,0.07,5.57,1
0,0,0,0,0,0,0,0,24,0,2944,156,4096,99,5.59,0,0,0,0,0.04,5.54,1
0,0,0,0,0,0,0,0,49,0,2816,154,4096,99,5.64,0,0,0,0,0.05,5.58,1
0,0,0,0,0,0,0,0,20,0,3072,154,4096,99,5.6,0,0,0,0,0.05,5.54,1
0,0,0,0,0,0,0,0,35,0,3072,154,4096,99,5.59,0,0,0,0,0.06,5.52,1
0,0,0,0,0,0,0,0,32,0,2816,154,4096,100,5.59,0,0,0,0,0.04,5.55,1
0,0,0,0,0,0,0,0,20,0,2944,156,4096,99,5.66,0,0,0,0,0.03,5.62,1
0,0,0,0,0,0,0,0,22,0,2944,155,4096,99,5.63,0,0,0,0,0.05,5.57,1
0,0,0,0,0,0,0,0,18,0,2944,154,4096,100,5.59,0,0,0,0,0.08,5.51,1
0,0,0,0,0,0,0,0,44,0,2944,156,4096,99,5.59,0,0,0,0,0.05,5.53,1
0,0,0,0,0,0,0,0,24,0,3072,155,4096,99,5.57,0,0,0,0,0.05,5.52,1
0,0,0,0,0,0,0,0,31,0,2944,155,4096,99,5.58,0,0,0,0,0.06,5.51,1
0,0,0,0,0,0,0,0,48,0,2944,156,4096,99,5.56,0,0,0,0,0.05,5.51,1
0,0,0,0,0,0,0,0,44,0,3072,156,4096,99,5.61,0,0,0,0,0.05,5.56,1
0,0,0,0,0,0,0,0,18,0,2944,156,4096,100,5.58,0,0,0,0,0.03,5.54,1
0,0,0,0,0,0,0,0,21,0,2944,152,4096,100,5.59,0,0,0,0,0.05,5.54,1
0,0,0,0,0,0,0,0,12,0,3072,157,4096,100,5.64,0,0,0,0,0.05,5.59,1
0,0,0,0,0,0,0,0,103,0,2944,154,4096,99,5.9,0,0,0,0,0.05,5.85,1
0,0,0,0,0,0,0,0,112,0,2944,153,4096,99,5.72,0,0,0,0,0.07,5.64,1
0,0,0,0,0,0,0,0,28,0,3072,157,4096,99,5.71,0,0,0,0,0.06,5.65,1
0,0,0,0,0,0,0,0,25,0,3072,156,4096,99,5.56,0,0,0,0,0.07,5.49,1
0,0,0,0,0,0,0,0,36,0,2944,155,4096,99,5.63,0,0,0,0,0.04,5.58,1
0,0,0,0,0,0,0,0,18,0,3072,156,4096,100,5.57,0,0,0,0,0.05,5.52,1
0,0,0,0,0,0,0,0,35,0,2944,154,4096,100,5.6,0,0,0,0,0.06,5.54,1
0,0,0,0,0,0,0,0,11,0,2944,154,4096,99,5.61,0,0,0,0,0.05,5.56,1
0,0,0,0,0,0,0,0,58,0,2944,156,4096,99,5.61,0,0,0,0,0.04,5.57,1
0,0,0,0,0,0,0,0,21,0,2816,155,4096,99,5.58,0,0,0,0,0.05,5.52,1
0,0,0,0,0,0,0,0,20,0,3072,156,4096,100,5.63,0,0,0,0,0.05,5.57,1
0,0,0,0,0,0,0,0,19,0,3072,156,4096,99,5.57,0,0,0,0,0.07,5.5,1
0,0,0,0,0,0,0,0,25,0,2944,155,4096,99,5.62,0,0,0,0,0.05,5.57,1
0,0,0,0,0,0,0,0,20,0,2944,154,4096,100,5.62,0,0,0,0,0.04,5.57,1
0,0,0,0,0,0,0,0,21,0,2944,154,4096,100,5.58,0,0,0,0,0.07,5.51,1
0,0,0,0,0,0,0,0,14,0,3072,154,4096,99,5.58,0,0,0,0,0.04,5.54,1
0,0,0,0,0,0,0,0,18,0,3072,153,4096,100,5.57,0,0,0,0,0.05,5.52,1
0,0,0,0,0,0,0,0,22,0,2944,155,4096,99,5.62,0,0,0,0,0.04,5.57,1
0,0,0,0,0,0,0,0,19,0,3072,157,4096,99,5.61,0,0,0,0,0.07,5.53,1
0,0,0,0,0,0,0,0,29,0,2816,154,4096,100,5.61,0,0,0,0,0.05,5.55,1
0,0,0,0,0,0,0,0,23,0,2944,154,4096,100,5.74,0,0,0,0,0.05,5.69,1
0,0,0,0,0,0,0,0,31,0,3072,156,4096,99,5.67,0,0,0,0,0.06,5.61,1
0,0,0,0,0,0,0,0,33,0,3072,156,4096,99,5.61,0,0,0,0,0.06,5.55,1
0,0,0,0,0,0,0,0,29,0,3072,157,4096,99,5.6,0,0,0,0,0.04,5.56,1
0,0,0,0,0,0,0,0,63,0,3072,155,4096,99,5.59,0,0,0,0,0.06,5.52,1
0,0,0,0,0,0,0,0,37,0,3072,154,4096,99,5.59,0,0,0,0,0.05,5.54,1
0,0,0,0,0,0,0,0,29,0,3072,158,4096,100,5.6,0,0,0,0,0.05,5.55,1
0,0,0,0,0,0,0,0,13,0,2944,153,4096,99,5.67,0,0,0,0,0.06,5.61,1
0,0,0,0,0,0,0,0,21,0,2944,154,4096,99,5.55,0,0,0,0,0.06,5.49,1
0,0,0,0,0,0,0,0,19,0,2944,154,4096,100,5.64,0,0,0,0,0.05,5.58,1
0,0,0,0,0,0,0,0,86,0,2944,154,4096,99,5.6,0,0,0,0,0.05,5.55,1
0,0,0,0,0,0,0,0,28,0,2944,154,4096,99,5.63,0,0,0,0,0.05,5.58,1
0,0,0,0,0,0,0,0,21,0,2944,153,4096,99,5.59,0,0,0,0,0.04,5.54,1
0,0,0,0,0,0,0,0,32,0,3072,156,4096,99,5.57,0,0,0,0,0.05,5.51,1
0,0,0,0,0,0,0,0,20,0,3072,154,4096,99,5.65,0,0,0,0,0.05,5.59,1
0,0,0,0,0,0,0,0,18,0,2816,154,4096,99,5.65,0,0,0,0,0.05,5.6,1
