avg_rss_mem,avg_shared_text_size,avg_stack_size,avg_total_size,avg_unshared_data_size,exit_status,file_system_inputs,file_system_outputs,involuntary_context_switches,major_page_faults,max_rss_mem,minor_page_faults,page_size,percent_cpu_job_got,real_time,signals_delivered,socket_messages_received,socket_messages_sent,swaps,system_time,user_time,voluntary_context_switches
0,0,0,0,0,0,0,0,1,0,3072,129,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,3,0,3072,127,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,3072,129,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,2944,128,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,129,4096,98,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,2,0,2944,128,4096,100,0.13,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,3072,126,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,3072,128,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,3072,126,4096,99,0.13,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,128,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,33,0,3072,127,4096,97,0.14,0,0,0,0,0.0,0.14,1
0,0,0,0,0,0,0,0,1,0,3072,129,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,129,4096,100,0.13,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,2,0,2944,128,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,2944,125,4096,99,0.14,0,0,0,0,0.0,0.14,1
0,0,0,0,0,0,0,0,1,0,3072,127,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,2944,129,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,129,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,128,4096,100,0.13,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,129,4096,100,0.14,0,0,0,0,0.0,0.14,1
0,0,0,0,0,0,0,0,1,0,3072,128,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,127,4096,98,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,127,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,129,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,2944,129,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,127,4096,99,0.13,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,129,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,7,0,3072,128,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,2944,128,4096,99,0.13,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,3072,128,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,3072,128,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,129,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,126,4096,98,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,2944,128,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,3072,128,4096,99,0.13,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,3072,127,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,2944,125,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3200,129,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,3072,129,4096,99,0.14,0,0,0,0,0.0,0.14,1
0,0,0,0,0,0,0,0,0,0,3072,126,4096,100,0.13,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,10,0,3072,127,4096,99,0.13,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,129,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,128,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,129,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,129,4096,98,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,3072,130,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,128,4096,99,0.13,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,3072,128,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,2944,128,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,3072,127,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,2944,127,4096,99,0.13,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,3072,127,4096,99,0.13,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,126,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,128,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,35,0,3072,126,4096,97,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,2944,127,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,9,0,3072,131,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,127,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,2,0,2944,127,4096,100,0.15,0,0,0,0,0.0,0.14,1
0,0,0,0,0,0,0,0,6,0,3072,128,4096,99,0.13,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,126,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,2944,127,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,3072,127,4096,99,0.14,0,0,0,0,0.0,0.14,1
0,0,0,0,0,0,0,0,0,0,3072,128,4096,99,0.13,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,8,0,3072,128,4096,98,0.13,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,2944,128,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,2944,128,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,2944,127,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,2944,127,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,2944,127,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,3072,129,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,6,0,2944,127,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,2944,128,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,129,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,2944,128,4096,100,0.13,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,129,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,3072,127,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,2944,127,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,2944,126,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,128,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,126,4096,98,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,3072,125,4096,100,0.13,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,128,4096,98,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,3072,126,4096,100,0.14,0,0,0,0,0.0,0.14,1
0,0,0,0,0,0,0,0,15,0,3072,128,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3200,129,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,3200,129,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,2944,128,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,3072,127,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,131,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,3072,129,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,3072,126,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,128,4096,99,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,2944,127,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,128,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,128,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,127,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,1,0,3072,130,4096,100,0.14,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,128,4096,100,0.13,0,0,0,0,0.0,0.13,1
0,0,0,0,0,0,0,0,0,0,3072,129,4096,98,0.14,0,0,0,0,0.0,0.13,1
