avg_rss_mem,avg_shared_text_size,avg_stack_size,avg_total_size,avg_unshared_data_size,exit_status,file_system_inputs,file_system_outputs,involuntary_context_switches,major_page_faults,max_rss_mem,minor_page_faults,page_size,percent_cpu_job_got,real_time,signals_delivered,socket_messages_received,socket_messages_sent,swaps,system_time,user_time,voluntary_context_switches
0,0,0,0,0,0,0,0,93,0,3200,181,4096,695,0.77,0,0,0,0,0.09,5.26,29
0,0,0,0,0,0,0,0,18,0,3072,180,4096,701,0.77,0,0,0,0,0.07,5.37,21
0,0,0,0,0,0,0,0,363,0,3200,181,4096,688,0.78,0,0,0,0,0.09,5.34,22
0,0,0,0,0,0,0,0,103,0,3328,182,4096,699,0.76,0,0,0,0,0.09,5.27,17
0,0,0,0,0,0,0,0,189,0,3200,179,4096,721,0.79,0,0,0,0,0.08,5.63,17
0,0,0,0,0,0,0,0,74,0,3200,181,4096,692,0.79,0,0,0,0,0.07,5.41,21
0,0,0,0,0,0,0,0,29,0,3328,181,4096,698,0.77,0,0,0,0,0.06,5.36,14
0,0,0,0,0,0,0,0,127,0,3200,181,4096,724,0.84,0,0,0,0,0.1,6.01,21
0,0,0,0,0,0,0,0,13,0,3200,180,4096,701,0.77,0,0,0,0,0.08,5.33,14
0,0,0,0,0,0,0,0,283,0,3072,182,4096,692,0.79,0,0,0,0,0.08,5.37,23
0,0,0,0,0,0,0,0,32,0,3200,180,4096,700,0.78,0,0,0,0,0.08,5.43,22
0,0,0,0,0,0,0,0,57,0,3328,181,4096,703,0.8,0,0,0,0,0.09,5.54,25
0,0,0,0,0,0,0,0,149,0,3200,182,4096,719,0.8,0,0,0,0,0.09,5.7,26
0,0,0,0,0,0,0,0,20,0,3200,179,4096,700,0.77,0,0,0,0,0.09,5.36,25
0,0,0,0,0,0,0,0,115,0,3200,180,4096,693,0.77,0,0,0,0,0.07,5.32,23
0,0,0,0,0,0,0,0,211,0,3200,182,4096,688,0.79,0,0,0,0,0.07,5.37,21
0,0,0,0,0,0,0,0,245,0,3072,182,4096,688,0.79,0,0,0,0,0.08,5.36,23
0,0,0,0,0,0,0,0,53,0,3200,181,4096,703,0.77,0,0,0,0,0.06,5.38,23
0,0,0,0,0,0,0,0,69,0,3200,181,4096,698,0.78,0,0,0,0,0.06,5.38,19
0,0,0,0,0,0,0,0,78,0,3200,179,4096,697,0.77,0,0,0,0,0.09,5.31,22
0,0,0,0,0,0,0,0,130,0,3328,181,4096,713,0.78,0,0,0,0,0.06,5.49,15
0,0,0,0,0,0,0,0,246,0,3200,182,4096,686,0.79,0,0,0,0,0.08,5.37,23
0,0,0,0,0,0,0,0,82,0,3328,182,4096,700,0.78,0,0,0,0,0.09,5.37,29
0,0,0,0,0,0,0,0,75,0,3200,182,4096,694,0.77,0,0,0,0,0.07,5.33,20
0,0,0,0,0,0,0,0,96,0,3200,180,4096,714,0.8,0,0,0,0,0.08,5.68,17
0,0,0,0,0,0,0,0,23,0,3200,179,4096,694,0.79,0,0,0,0,0.07,5.43,31
0,0,0,0,0,0,0,0,35,0,3200,182,4096,701,0.77,0,0,0,0,0.08,5.36,21
0,0,0,0,0,0,0,0,52,0,3328,181,4096,698,0.78,0,0,0,0,0.05,5.41,26
0,0,0,0,0,0,0,0,161,0,3200,182,4096,687,0.79,0,0,0,0,0.07,5.41,24
0,0,0,0,0,0,0,0,124,0,3200,181,4096,712,0.79,0,0,0,0,0.08,5.6,19
0,0,0,0,0,0,0,0,214,0,3200,179,4096,691,0.79,0,0,0,0,0.07,5.42,21
0,0,0,0,0,0,0,0,69,0,3200,181,4096,694,0.78,0,0,0,0,0.08,5.35,18
