avg_rss_mem,avg_shared_text_size,avg_stack_size,avg_total_size,avg_unshared_data_size,exit_status,file_system_inputs,file_system_outputs,involuntary_context_switches,major_page_faults,max_rss_mem,minor_page_faults,page_size,percent_cpu_job_got,real_time,signals_delivered,socket_messages_received,socket_messages_sent,swaps,system_time,user_time,voluntary_context_switches
0,0,0,0,0,0,0,0,0,0,3328,173,4096,625,0.03,0,0,0,0,0.0,0.19,26
0,0,0,0,0,0,0,0,12,0,3200,176,4096,641,0.02,0,0,0,0,0.0,0.18,18
0,0,0,0,0,0,0,0,8,0,3200,175,4096,631,0.02,0,0,0,0,0.0,0.18,17
0,0,0,0,0,0,0,0,8,0,3200,175,4096,657,0.02,0,0,0,0,0.0,0.17,16
0,0,0,0,0,0,0,0,9,0,3328,173,4096,621,0.02,0,0,0,0,0.0,0.16,16
0,0,0,0,0,0,0,0,9,0,3200,174,4096,635,0.02,0,0,0,0,0.0,0.17,17
0,0,0,0,0,0,0,0,5,0,3328,175,4096,642,0.02,0,0,0,0,0.0,0.17,16
0,0,0,0,0,0,0,0,5,0,3200,175,4096,631,0.02,0,0,0,0,0.0,0.18,16
0,0,0,0,0,0,0,0,5,0,3200,174,4096,634,0.02,0,0,0,0,0.0,0.17,18
0,0,0,0,0,0,0,0,7,0,3072,172,4096,646,0.02,0,0,0,0,0.0,0.17,22
0,0,0,0,0,0,0,0,5,0,3328,174,4096,657,0.02,0,0,0,0,0.0,0.18,26
0,0,0,0,0,0,0,0,8,0,3328,173,4096,631,0.02,0,0,0,0,0.0,0.17,16
0,0,0,0,0,0,0,0,3,0,3200,174,4096,653,0.02,0,0,0,0,0.0,0.18,14
0,0,0,0,0,0,0,0,4,0,3200,173,4096,657,0.02,0,0,0,0,0.0,0.18,17
0,0,0,0,0,0,0,0,5,0,3328,173,4096,646,0.02,0,0,0,0,0.0,0.17,18
0,0,0,0,0,0,0,0,8,0,3200,174,4096,624,0.02,0,0,0,0,0.0,0.17,15
0,0,0,0,0,0,0,0,8,0,3200,174,4096,642,0.02,0,0,0,0,0.0,0.17,17
0,0,0,0,0,0,0,0,8,0,3072,172,4096,646,0.02,0,0,0,0,0.0,0.18,17
0,0,0,0,0,0,0,0,4,0,3200,174,4096,655,0.02,0,0,0,0,0.0,0.18,21
0,0,0,0,0,0,0,0,7,0,3072,174,4096,689,0.02,0,0,0,0,0.0,0.19,17
0,0,0,0,0,0,0,0,22,0,3200,175,4096,600,0.03,0,0,0,0,0.0,0.2,17
0,0,0,0,0,0,0,0,16,0,3200,174,4096,713,0.02,0,0,0,0,0.0,0.2,18
0,0,0,0,0,0,0,0,10,0,3200,175,4096,637,0.02,0,0,0,0,0.0,0.17,18
0,0,0,0,0,0,0,0,6,0,3200,175,4096,634,0.02,0,0,0,0,0.0,0.17,18
0,0,0,0,0,0,0,0,8,0,3200,174,4096,646,0.02,0,0,0,0,0.0,0.18,15
0,0,0,0,0,0,0,0,14,0,3200,171,4096,631,0.02,0,0,0,0,0.0,0.18,12
0,0,0,0,0,0,0,0,6,0,3200,174,4096,646,0.02,0,0,0,0,0.0,0.17,14
0,0,0,0,0,0,0,0,6,0,3200,174,4096,635,0.02,0,0,0,0,0.0,0.17,19
0,0,0,0,0,0,0,0,8,0,3328,176,4096,631,0.02,0,0,0,0,0.0,0.17,19
0,0,0,0,0,0,0,0,5,0,3328,175,4096,624,0.02,0,0,0,0,0.0,0.17,15
0,0,0,0,0,0,0,0,7,0,3072,175,4096,641,0.02,0,0,0,0,0.0,0.18,24
0,0,0,0,0,0,0,0,5,0,3200,174,4096,650,0.02,0,0,0,0,0.0,0.17,16
0,0,0,0,0,0,0,0,8,0,3072,176,4096,641,0.02,0,0,0,0,0.0,0.18,17
0,0,0,0,0,0,0,0,4,0,3200,175,4096,641,0.02,0,0,0,0,0.0,0.17,13
0,0,0,0,0,0,0,0,5,0,3328,173,4096,634,0.02,0,0,0,0,0.0,0.18,17
0,0,0,0,0,0,0,0,2,0,3200,175,4096,631,0.02,0,0,0,0,0.0,0.18,13
0,0,0,0,0,0,0,0,7,0,3200,174,4096,627,0.02,0,0,0,0,0.0,0.17,15
0,0,0,0,0,0,0,0,12,0,3200,174,4096,634,0.02,0,0,0,0,0.0,0.18,16
0,0,0,0,0,0,0,0,5,0,3328,175,4096,642,0.02,0,0,0,0,0.0,0.17,19
0,0,0,0,0,0,0,0,11,0,3328,174,4096,631,0.02,0,0,0,0,0.0,0.17,19
0,0,0,0,0,0,0,0,13,0,3200,175,4096,613,0.03,0,0,0,0,0.0,0.17,18
0,0,0,0,0,0,0,0,8,0,3200,174,4096,657,0.02,0,0,0,0,0.0,0.18,15
0,0,0,0,0,0,0,0,5,0,3200,176,4096,657,0.02,0,0,0,0,0.0,0.18,19
0,0,0,0,0,0,0,0,4,0,3200,171,4096,641,0.02,0,0,0,0,0.0,0.18,16
